Size	Reads	Aligned reads	Percent aligned
1	2451601	2341801	96
2	2451601	2315268	94
3	2451601	2307805	94
4	2451601	2272816	93
5	2451601	2237233	91
6	2451601	2198561	90
7	2451601	2153258	88
8	2451601	2120373	86
9	2451601	2079999	85
10	2451601	2040664	83
11	2451601	2003183	82
12	2451601	1962773	80
13	2451601	1923490	78
14	2451601	1883534	77
15	2451601	1846061	75
16	2451601	1808395	74
17	2451601	1769674	72
18	2451601	1729642	71
19	2451601	1690048	69
20	2451601	1651993	67
21	2451601	1611265	66
22	2451601	1572318	64
23	2451601	1533457	63
24	2451601	1493830	61
25	2451601	1453928	59
26	2451601	1414391	58
27	2451601	1374161	56
28	2451601	1333702	54
29	2451601	0	0
30	2451601	0	0
31	2451601	0	0
32	2451601	0	0
33	2451601	0	0
34	2451601	0	0
35	2451601	0	0
36	2451601	0	0
37	2451601	0	0
38	2451601	0	0
39	2451601	0	0
40	2451601	0	0
41	2451601	0	0
42	2451601	0	0
43	2451601	0	0
44	2451601	0	0
45	2451601	0	0
46	2451601	0	0
47	2451601	0	0
48	2451601	0	0
49	2451601	0	0
50	2451601	0	0
51	2451601	0	0
52	2451601	0	0
53	2451601	0	0
54	2451601	0	0
55	2451601	0	0
56	2451601	0	0
57	2451601	0	0
58	2451601	0	0
59	2451601	0	0
60	2451601	0	0
61	2451601	0	0
62	2451601	0	0
63	2451601	0	0
64	2451601	0	0
65	2451601	0	0
66	2451601	0	0
67	2451601	0	0
68	2451601	0	0
69	2451601	0	0
70	2451601	0	0
71	2451601	0	0
72	2451601	0	0
73	2451601	0	0
74	2451601	0	0
75	2451601	0	0
76	2451601	0	0
77	2451601	0	0
78	2451601	0	0
79	2451601	0	0
80	2451601	0	0
81	2451601	0	0
82	2451601	0	0
83	2451601	0	0
84	2451601	0	0
85	2451601	0	0
86	2451601	0	0
87	2451601	0	0
88	2451601	0	0
89	2451601	0	0
90	2451601	0	0
91	2451601	0	0
92	2451601	0	0
93	2451601	0	0
94	2451601	0	0
95	2451601	0	0
96	2451601	0	0
97	2451601	0	0
98	2451601	0	0
99	2451601	0	0
100	2451601	0	0
101	2451601	0	0
102	2451601	0	0
103	2451601	0	0
104	2451601	0	0
105	2451601	0	0
106	2451601	0	0
107	2451601	0	0
108	2451601	0	0
109	2451601	0	0
110	2451601	0	0
111	2451601	0	0
112	2451601	0	0
113	2451601	0	0
114	2451601	0	0
115	2451601	0	0
116	2451601	0	0
117	2451601	0	0
118	2451601	0	0
119	2451601	0	0
120	2451601	0	0
121	2451601	0	0
122	2451601	0	0
123	2451601	0	0
124	2451601	0	0
125	2451601	0	0
126	2451601	0	0
127	2451601	0	0
128	2451601	0	0
129	2451601	0	0
130	2451601	0	0
131	2451601	0	0
132	2451601	0	0
133	2451601	0	0
134	2451601	0	0
135	2451601	0	0
136	2451601	0	0
137	2451601	0	0
138	2451601	0	0
139	2451601	0	0
140	2451601	0	0
141	2451601	0	0
142	2451601	0	0
143	2451601	0	0
144	2451601	0	0
145	2451601	0	0
146	2451601	0	0
147	2451601	0	0
148	2451601	0	0
