Size	Reads	Aligned reads	Percent aligned
1	2451601	2352328	96
2	2451601	2274656	93
3	2451601	2242679	91
4	2451601	2209619	90
5	2451601	2176645	89
6	2451601	2143865	87
7	2451601	2111168	86
8	2451601	2079279	85
9	2451601	2046705	83
10	2451601	2014184	82
11	2451601	1982310	81
12	2451601	1950447	80
13	2451601	1920741	78
14	2451601	1894821	77
15	2451601	1877227	77
16	2451601	1858097	76
17	2451601	1834625	75
18	2451601	1800962	73
19	2451601	1768820	72
20	2451601	1736549	71
21	2451623	1703275	69
22	2451617	1670620	68
23	2451631	1638155	67
24	2451920	1605525	65
25	2452729	1572802	64
26	2454867	1540456	63
27	2460575	1507765	61
28	2475705	1474789	60
29	2509510	1441477	57
30	2540782	1409467	55
31	2572740	1377114	54
32	2606443	1343860	52
33	2639052	1311128	50
34	2671561	1278514	48
35	2704676	1245495	46
36	2736733	1213123	44
37	2769504	1180287	43
38	2801791	1147856	41
39	2835318	1114759	39
40	2867774	1081721	38
41	2901192	1049040	36
42	2933823	1016246	35
43	2965406	984192	33
44	2997784	951525	32
45	3030994	918518	30
46	3063668	885898	29
47	3095586	853477	28
48	3129476	820160	26
49	3162264	787456	25
50	3195015	754635	24
51	3227363	722101	22
52	3258678	690104	21
53	3292315	656873	20
54	3325952	623641	19
55	3356825	591894	18
56	3390506	558720	16
57	3423207	525854	15
58	3454042	494164	14
59	3488393	460526	13
60	3520981	427964	12
61	3553087	395532	11
62	3586157	362643	10
63	3619134	329801	9
64	3650108	298017	8
65	3682711	265416	7
66	3715721	232534	6
67	3748680	199721	5
68	3779998	167620	4
69	3823903	124431	3
70	3884519	63213	2
71	3948411	0	0
72	3948393	0	0
73	3947949	0	0
74	3947665	0	0
75	3948086	0	0
76	3947702	0	0
77	3947517	0	0
78	3947737	0	0
79	3947342	0	0
80	3947293	0	0
81	3947620	0	0
82	3947339	0	0
83	3947036	0	0
84	3947178	0	0
85	3947345	0	0
86	3947075	0	0
87	3946847	0	0
88	3946725	0	0
89	3946782	0	0
90	3947307	0	0
91	3946386	0	0
92	3946680	0	0
93	3946808	0	0
94	3946203	0	0
95	3946403	0	0
96	3946295	0	0
97	3945990	0	0
98	3946022	0	0
99	3945983	0	0
100	3945825	0	0
101	3946083	0	0
102	3945956	0	0
103	3945187	0	0
104	3945699	0	0
105	3945651	0	0
106	3945232	0	0
107	3944914	0	0
108	3945294	0	0
109	3944991	0	0
110	3944949	0	0
111	3944823	0	0
112	3944081	0	0
113	3944462	0	0
114	3944312	0	0
115	3943913	0	0
116	3944298	0	0
117	3943972	0	0
118	3943875	0	0
119	3944297	0	0
120	3943789	0	0
121	3943778	0	0
122	3943413	0	0
123	3944016	0	0
124	3943412	0	0
125	3943149	0	0
126	3944028	0	0
127	3943683	0	0
128	3943403	0	0
129	3943038	0	0
130	3942423	0	0
131	3942973	0	0
132	3942730	0	0
133	3942790	0	0
134	3942728	0	0
135	3942759	0	0
136	3942018	0	0
137	3942216	0	0
138	3942133	0	0
139	3942329	0	0
140	3942190	0	0
141	3942326	0	0
142	3942075	0	0
143	3941984	0	0
144	3941921	0	0
145	3941391	0	0
146	3941199	0	0
147	3941033	0	0
148	3941276	0	0
