Size	Reads	Aligned reads	Percent aligned
1	2451601	2340537	95
2	2451601	2291852	93
3	2451601	2243904	92
4	2451601	2194934	90
5	2451601	2146019	88
6	2451601	2096968	86
7	2451601	2047906	84
8	2451601	1998857	82
9	2451601	1949885	80
10	2451601	1900855	78
11	2451601	1851790	76
12	2451601	1802728	74
13	2451601	1753733	72
14	2451601	1704700	70
15	2451601	1655659	68
16	2451601	1606637	66
17	2451601	1557608	64
18	2451601	1508568	62
19	2451601	1459527	60
20	2451601	1410500	58
21	2451601	1361478	56
22	2451601	1312447	54
23	2451601	1263415	52
24	2451925	1214384	50
25	2452725	1165353	48
26	2454813	1116320	45
27	2459962	1067284	43
28	2474231	1018254	41
29	2506915	969225	39
30	2539601	920193	36
31	2572286	871161	34
32	2604974	822129	32
33	2637661	773098	29
34	2670348	724067	27
35	2703035	675036	25
36	2735724	626003	23
37	2768413	576970	21
38	2801099	527939	19
39	2833787	478907	17
40	2866475	429874	15
41	2899164	380841	13
42	2931851	331809	11
43	2964540	282780	10
44	2997249	233748	8
45	3029935	184718	6
46	3071889	126449	4
47	3149654	32392	1
48	3165802	0	0
49	3149458	0	0
50	3133114	0	0
51	3116770	0	0
52	3100427	0	0
53	3084083	0	0
54	3067740	0	0
55	3051396	0	0
56	3035052	0	0
57	3018707	0	0
58	3002361	0	0
59	2986018	0	0
60	2969674	0	0
61	2953330	0	0
62	2936985	0	0
63	2920640	0	0
64	2904296	0	0
65	2887952	0	0
66	2871608	0	0
67	2855263	0	0
68	2838919	0	0
69	2822575	0	0
70	2806231	0	0
71	2789888	0	0
72	2773546	0	0
73	2757205	0	0
74	2740861	0	0
75	2724517	0	0
76	2708174	0	0
77	2691830	0	0
78	2675486	0	0
79	2659142	0	0
80	2642798	0	0
81	2626454	0	0
82	2610110	0	0
83	2593765	0	0
84	2577419	0	0
85	2561075	0	0
86	2544731	0	0
87	2528387	0	0
88	2512043	0	0
89	2495699	0	0
90	2479354	0	0
91	2463008	0	0
92	2455877	0	0
93	2453311	0	0
94	2452267	0	0
95	2451867	0	0
96	2451705	0	0
97	2451627	0	0
98	2451601	0	0
99	2451601	0	0
100	2451601	0	0
101	2451601	0	0
102	2451601	0	0
103	2451601	0	0
104	2451601	0	0
105	2451601	0	0
106	2451601	0	0
107	2451601	0	0
108	2451601	0	0
109	2451601	0	0
110	2451601	0	0
111	2451601	0	0
112	2451601	0	0
113	2451601	0	0
114	2451601	0	0
115	2451601	0	0
116	2451601	0	0
117	2451601	0	0
118	2451601	0	0
119	2451601	0	0
120	2451601	0	0
121	2451601	0	0
122	2451601	0	0
123	2451601	0	0
124	2451601	0	0
125	2451601	0	0
126	2451601	0	0
127	2451601	0	0
128	2451601	0	0
129	2451601	0	0
130	2451601	0	0
131	2451601	0	0
132	2451601	0	0
133	2451601	0	0
134	2451601	0	0
135	2451601	0	0
136	2451601	0	0
137	2451601	0	0
138	2451601	0	0
139	2451601	0	0
140	2451601	0	0
141	2451601	0	0
142	2451601	0	0
143	2451601	0	0
144	2451601	0	0
145	2451601	0	0
146	2451601	0	0
147	2451601	0	0
148	2451601	0	0
