HPO	Associated Genes
1-3 toe syndactyly	GLI3
1-5 finger complete cutaneous syndactyly	LMBR1
1-5 finger syndactyly	LMBR1,SHH
1-5 toe syndactyly	GLI3
1-minute APGAR score of 0	PRPS1
1-minute APGAR score of 1	USP9X
11 pairs of ribs	SKI,PRDM16,KCNAB2,LBR,RRAS2,RERE,GPX4,SOX2,TBC1D24,HDAC6,CENPJ,SOX9,FLNB,SNRPB,CHST3,TOR1A,ATR,B3GALT6,RPS19,CEP152,NFASC,B3GAT3,DNMT3A,RNU4ATAC,BMP2,TBCK,GABRD
2-3 finger syndactyly	PITX1,GPC3,FGFR3,SOST,FGF10,LRP4,GPC4,FGFR2,WDPCP
2-3 toe cutaneous syndactyly	NECTIN4,MCTP2
2-3 toe syndactyly	PTCHD1,PIGY,ARHGEF6,CDC45,IL1RAPL1,SYP,USP27X,FRMPD4,CNKSR2,SLC9A7,PUF60,CXORF56,CSGALNACT1,ARX,FTSJ1,DDX11,HOXD13,NOG,CLCF1,BMP2,USP9X,TBCK,FGFR1,GDI1,CERT1,MED12,SIK3,EBP,MED25,MEIS2,ACSL4,STAG1,GDF5,SMAD4,DLG3,CNOT2,FDFT1,GNE,ZNF711,BHLHA9,MECP2,MYCN,CEP55,SOX5,POLR3A,MID2,SETD5,BMPR1B,TXNL4A,ZNF81,ZNF41,IL11RA,ADNP,RBPJ,SETD2,TP63,ARCN1,IQSEC2,SHANK3,TSPAN7,MAN1B1,SLC12A6,DMD,CTCF,RAB39B,NEDD4L,BCOR,DHCR7,ALG13,ZMIZ1,FGFR2,SYT1,KCTD1,LMBR1,TRIO,CLCN4,RPS6KA3,TBX15,SALL1,APC2,PSMD12,HCFC1,AGTR2,PAK3,NSD1,DDX6,FBXW11,TTI2,NIPBL,UPF3B,RAI1
2-4 finger syndactyly	SALL1
2-4 toe cutaneous syndactyly	SVBP,DYRK1A,GJA1
2-4 toe syndactyly	CKAP2L,PIK3CA
2-5 finger syndactyly	RTTN
2-hydroxyglutarate aciduria	SLC25A1,L2HGDH,D2HGDH,IDH2
2nd-5th toe middle phalangeal hypoplasia	HOXD13
3-4 finger cutaneous syndactyly	KAT6A,GLI3,TP63,KCTD1
3-4 finger syndactyly	HOXD13,GLI3,SALL1,BHLHA9
3-4 toe syndactyly	HOXD13,RHOA,GJA1,SALL1
3-Methylglutaconic aciduria	ATP5F1E,ATAD3A,TMEM70,ATP5F1D,AUH,MICOS13,TAZ,SERAC1,HTRA2,CLPB,HMGCL,ATPAF2,AGK,POLG,OPA3,TIMM50,DNAJC19
3-Methylglutaric aciduria	HMGCL,DNAJC19
4-5 finger syndactyly	RTTN,GJA1
4-5 toe syndactyly	HOXD13,TBX15,TELO2,MYCN,RBBP8
4-Hydroxyphenylacetic aciduria	HPD
4-Hydroxyphenylpyruvic aciduria	HPD,TAT
4-layered lissencephaly	RELN
5-minute APGAR score of 1	PRPS1
5-minute APGAR score of 5	USP9X
6 metacarpals	HOXD13,LMBR1,SHH
AV nodal tachycardia	CYTB,CITED2
Abdominal aortic aneurysm	ELN,ACTA2,FOXE3,SMAD3,MAT2A,MYLK,MFAP5,TGFBR2,FBN1,PRKG1,NSMCE2,MYH11,TGFBR1,TGFB2,SMAD4,PTPN22,LOX,TGFB3
Abdominal colic	APRT,ALAD
Abdominal distention	IL12RB1,BMPER,TRMU,SLC5A1,COL2A1,RRM2B,NKX3-2,HESX1,SLC9A3,PSAP,STAT4,IRF5,DYNC2I1,RET,PTH1R,PYGL,SLC5A5,NKX2-5,SPIB,IFT52,NKX2-1,DYNC2I2,EWSR1,INSR,MYH11,GNPTAB,FREM2,SLC4A1,POU1F1,DYNC2H1,ANK1,VDR,ARSA,FSHR,SPP1,TG,DLL3,BRCA1,COL11A1,SPTB,G6PC,MNX1,IFT122,DDRGK1,DUOX2,SMARCAL1,COL11A2,GNE,TSHR,MTOR,MYO5B,IFT80,SMPD1,LMOD1,HMBS,SLC2A2,EPB42,SEC63,IYD,POLG2,TRIP11,TPO,PSMB8,NPHS1,TCTN2,TNPO3,SLC26A3,FLNA,CYP2R1,ACTG2,PRKCSH,LIPA,MESP2,LHX3,KRT8,FOXE1,IL12A,CYP27B1,KRT18,DUOXA2,TTC7A,IRAK1,TYMP,SLC26A2,TSHB,GBA,FLI1,PHKG2,LHX4,SAR1B,TNFSF15,PHKA2,STX3,SPINT2,WDR35,ITGA6,PAX8,MYLK,LRP5,SLC37A4,PROP1,SPTA1,WT1,POU2AF1,MMEL1,ZEB2,ALG8,EPHB4,POLG,KAT6A,INPPL1,ALDOB,SLC26A4,ITGB4
Abdominal mass	KIF1B
Abdominal obesity	MTTP,AIP,MKRN3-AS1,IPW,NKAP,MAGEL2,BLM,MKRN3,LIPE,NDN,SIM1,PWAR1,SNORD115-1,HERC2,NPAP1,DYRK1B,PWRN1,SNORD116-1,USP8,CUL4B,SNRPN,ARMC5,RNPC3
Abdominal pain	TP53,SCN5A,VHL,BAZ1B,HLA-DRB1,MST1,RRM2B,PIGY,MVK,F5,CDH23,GLA,TXNRD2,ABCA1,PTPN22,ASXL1,RPS20,MSH6,MET,MLYCD,RARA,ALAD,STAT4,MRAP,EPOR,NOD2,LPL,RET,PIEZO1,MEFV,NF1,NUMA1,EDN3,ADA2,NKX2-5,GDNF,PRKAR1A,RFC2,KLRC4,EPAS1,GFI1,ABCG8,TET2,MAX,SDHA,STK11,CDKN2C,STAR,EWSR1,ESR1,NLRP12,MSH2,HELLPAR,G6PD,DAXX,USP8,NPM1,REST,FLT1,TRIM28,IL6,EPB41,BMP2,SLC25A26,SRSF2,TCIRG1,SDHC,SLC4A1,CPA1,MC2R,CD55,ELN,CASR,SOX10,ANK1,TSC2,IL10,CDKN2B,PTEN,SLC25A11,FSHR,NRTN,SPP1,HLA-DPB1,TMEM127,H19,POMT1,BCL10,BRCA1,MYC,PRSS1,RNF168,SPTB,SCARB2,CPOX,IRF2BP2,CLIP2,STOX1,SMAD4,PMS2,HBB,TLR4,BMPR1A,CFTR,CEL,SRP54,C4A,LIMK1,OPLAH,HFE,SEMA3C,GNE,HLA-B,CFH,IL12A-AS1,DLST,IKZF1,MDH2,SEMA3D,JAK2,PALLD,SCN1B,TRIP13,FIP1L1,SLC40A1,MLH1,SLC12A3,STAT3,HMBS,APRT,EPB42,DIS3L2,SEC63,PTPN3,ECE1,ELANE,KCNN4,GHSR,SDHAF2,PALB2,IL23R,CTRC,GTF2I,TBL1XR1,ATRX,STAT5B,IGH,FAS,CDKN2A,CTNNB1,MITF,RUNX1,GNA11,CLDN16,ACTG2,CDKN1A,UBAC2,MLH3,CORIN,FH,ZBTB16,MMUT,NLRP3,TSC1,GYPC,GTF2IRD1,CBL,PIK3CA,IL12A,BRCA2,CFI,DDIT3,LACC1,DNASE1L3,TRPM4,SPINK1,BCOR,GPC3,PRTN3,IRAK1,MCM6,TYMP,FOXP1,DNMT3A,GBA,MEN1,POU6F2,FLI1,HPS1,KIF1B,FUS,CDKN1B,KRAS,FAN1,ABCC2,HLA-DPA1,NNT,CLCNKB,SDHD,CDC73,PPOX,CPT2,CD46,GCGR,KIT,TNFRSF1A,BIRC3,LRP5,GUCY2C,NABP1,APC,SPTA1,MALT1,WT1,F12,PML,GPR35,SAA1,PRSS2,MPL,CCR1,PMS1,SEMA4A,TGFBR2,PIGA,PIGT,MIF,CASK,POLG,EDNRB,CTLA4,ERAP1,EPCAM,SDHB,TBL2,TCF4,TREH,HEXB,SERPING1,PORCN,ALDOB,RIPK1,PRKCSH
Abdominal situs ambiguus	GDF1
Abdominal situs inversus	FOXJ1,NELFA,LETM1,ACTG2,ZIC3,CFC1,PKD1L1,CFAP53,NODAL,NSD2
