Symbol,MGI_ID
A,87853
PZP,87854
ABL1,87859
ABL2,87860
SCGB1B27,87862
SCGB2B27,87863
SCGB2B26,87864
ACADL,87866
ACADM,87867
ACADS,87868
ACAT1,87870
ACAT2,87871
ACD,87873
ACE,87874
ACHE,87876
APOC4,87878
ACO1,87879
ACO2,87880
ACP1,87881
ACP2,87882
ACP5,87883
ACR,87884
CHRNA1,87885
CHRNA2,87886
CHRNA3,87887
CHRNA4,87888
CHRNA5,87889
CHRNB1,87890
CHRNB2,87891
CHRNB4,87892
CHRND,87893
CHRNE,87894
CHRNG,87895
ACTA1,87902
ACTB,87904
ACTC1,87905
ACTG1,87906
ACTG-PS1,87907
ACTA2,87909
ACVR1,87911
ACVR2B,87912
ACY1,87913
ASPA,87914
ADA,87916
ADCY6,87917
ADD1,87918
ADD2,87919
PLIN2,87920
ADH1,87921
ADH7,87926
ADH5,87929
ADK,87930
CFD,87931
ADRA2A,87934
ADRA2B,87935
ADRA2C,87936
ADRB1,87937
ADRB2,87938
ADRB3,87939
GRK2,87940
GRK3,87941
ADSSL1,87947
ADSS,87948
AFP,87951
AGRN,87961
AGT,87963
AGTR1A,87964
AGTR1B,87965
AGTR2,87966
AHCY,87968
AHI1,87971
AK1,87977
AK2,87978
AK4,87979
AKP-PS1,87981
ALPL,87983
AKP3,87984
AKT1,87986
ALAS1,87989
ALAS2,87990
ALB,87991
ALDOA,87994
ALDOB,87995
ALOX15,87997
ALOX12,87998
ALOX5,87999
AMBP,88002
AMD1,88004
AMELX,88005
AMH,88006
AMPD1,88015
AMPD2,88016
MAT1A,88017
AMY1,88019
AMY2A5,88020
ANG,88022
ANK1,88024
ANK2,88025
ANK3,88026
ANXA4,88030
ANXA7,88031
PRDX3,88034
AOX1,88035
FABP4,88038
APC,88039
APEH,88041
APEX1,88042
APLP1,88046
APLP2,88047
APOA1,88049
APOA2,88050
APOA4,88051
APOB,88052
APOC1,88053
APOC2,88054
APOC3,88055
APOD,88056
APOE,88057
APOH,88058
APP,88059
APRT,88061
APRT-PS,88062
AR,88064
ARAF,88065
ARC,88067
AREG,88068
ARG1,88070
ARNT,88071
ARSB,88075
ARSA,88077
ASGR1,88081
ASGR2,88082
ASL,88084
ASS-PS1,88088
ASS1,88090
SERPINC1,88095
ATF4,88096
ATP1A1,88105
ATP1A2,88106
ATP1A3,88107
ATP1B1,88108
ATP1B2,88109
ATP2A2,88110
ATP2B4,88111
ATP4A,88113
ATP4B,88114
ATP5A1,88115
ATP6V0C,88116
SLC7A1,88117
AVP,88121
AVPR2,88123
B2M,88127
ZBTB12,88133
TFF1,88135
BCKDHB,88137
BCL2,88138
BCL2L1,88139
BCL3,88140
BCR,88141
BDKRB1,88144
BDNF,88145
GLB1,88151
BGLAP3,88155
BGLAP,88156
BGLAP2,88157
BGN,88158
BLK,88169
BLVRA,88170
BMI1,88174
MANBA,88175
BMP1,88176
BMP2,88177
BMP4-PS,88178
BMP3,88179
BMP4,88180
BMP5,88181
BMP6,88182
BMYC,88184
BRAF,88190
SMARCA4,88192
BSG,88208
BTG1,88215
BTK,88216
COMMD3,88218
TSPO,88222
C1QA,88223
C1QB,88224
C1QC,88225
C2,88226
C3,88227
C4B,88228
C4BP,88229
C5AR1,88232
C6,88233
C7,88235
C8B,88236
C8G,88237
S100A8,88244
ANXA2,88246
CALB1,88248
CALD1,88250
CALM1,88251
CALR,88252
CAR8,88253
ANXA6,88255
CAMK2A,88256
CAMK2B,88257
CAMK4,88258
CAMK2G,88259
CANX,88261
CAP1,88262
CAPN1,88263
CAPN2,88264
CAPNS1,88266
CAR1,88268
CAR2,88269
CAR3,88270
CAT,88271
CTNNA1,88274
CTNNA2,88275
CTNNB1,88276
SERPINA6,88278
CBL,88279
CBLN1,88281
CBLN2,88282
SERPINH1,88283
CBR1,88284
CBS,88285
CBX2,88289
CACNA1D,88293
CACNA1S,88294
CACNA2D1,88295
CACNA1B,88296
CCK,88297
CCNB1,88302
CCNB2,88311
CCND1,88313
CCND2,88314
CCND3,88315
CCNE1,88316
CD14,88318
CD19,88319
CD2,88320
MS4A1,88321
CD22,88322
CD24A,88323
CD27,88326
CD28,88327
TNFSF8,88328
CD34,88329
CD37,88330
CD3D,88331
CD3E,88332
CD3G,88333
CD247,88334
CD4,88335
CD40,88336
CD40LG,88337
CD44,88338
CD48,88339
CD5,88340
CD53,88341
CD68,88342
CD69,88343
CD7,88344
CD72,88345
CD8A,88346
