Symbol	Full Name	Summary
STEAP4	STEAP4 metalloreductase 	The protein encoded by this gene belongs to the STEAP (six transmembrane epithelial antigen of prostate) family, and resides in the golgi apparatus. It functions as a metalloreductase that has the ability to reduce both Fe(3+) to Fe(2+) and Cu(2+) to Cu(1+), using NAD(+) as acceptor. Studies in mice and human suggest that this gene maybe involved in adipocyte development and metabolism, and may contribute to the normal biology of the prostate cell, as well as prostate cancer progression. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2011].
GALR1	galanin receptor 1 	The neuropeptide galanin elicits a range of biological effects by interaction with specific G-protein-coupled receptors. Galanin receptors are seven-transmembrane proteins shown to activate a variety of intracellular second-messenger pathways. GALR1 inhibits adenylyl cyclase via a G protein of the Gi/Go family.  GALR1 is widely expressed in the brain and spinal cord, as well as in peripheral sites such as the small intestine and heart. [provided by RefSeq, Jul 2008].
RNASEL	ribonuclease L 	This gene encodes a component of the interferon-regulated 2-5A system that functions in the antiviral and antiproliferative roles of interferons. Mutations in this gene have been associated with predisposition to prostate cancer and this gene is a candidate for the hereditary prostate cancer 1 (HPC1) allele. [provided by RefSeq, Jul 2008].
KIDINS220	kinase D interacting substrate 220 	This gene encodes a transmembrane protein that is preferentially expressed in the nervous system where it controls neuronal cell survival, differentiation into exons and dendrites, and synaptic plasticity. The encoded protein interacts with membrane receptors, cytosolic signaling components, and cytoskeletal proteins, serving as a scaffold that mediates crosstalk between the neurotrophin pathway and several other intracellular signaling pathways. Aberrant expression of this gene is associated with the onset of various neuropsychiatric disorders and neurodegenerative diseases, including Alzheimer's disease. Naturally occurring mutations in this gene are associated with a syndrome characterized by spastic paraplegia, intellectual disability, nystagmus and obesity. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2017].
MOCOS	molybdenum cofactor sulfurase 	This gene encodes an enzyme that sulfurates the molybdenum cofactor which is required for activation of the xanthine dehydrogenase (XDH) and aldehyde oxidase (AO) enzymes. XDH catalyzes the conversion of hypoxanthine to uric acid via xanthine, as well as the conversion of allopurinol to oxypurinol, and pyrazinamide to 5-hydroxy pyrazinamide. Mutations in this gene cause the metabolic disorder classical xanthinuria type II which is characterized by the loss of XDH/XO and AO enzyme activity, decreased levels of uric acid in the urine, increased levels of xanthine and hypoxanthine in the serum and urine, formation of xanthine stones in the urinary tract, and myositis due to tissue deposition of xanthine. [provided by RefSeq, Apr 2017].
NDEL1	nudE neurodevelopment protein 1 like 1 	This gene encodes a coiled-coil protein that plays a role in multiple processes including cytoskeletal organization, cell signaling and neuron migration, outgrowth and maintenance. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene, and a pseudogene of this gene is located on the long arm of chromosome X. [provided by RefSeq, Mar 2012].
ELAVL2	ELAV like RNA binding protein 2 	The protein encoded by this gene is a neural-specific RNA-binding protein that is known to bind to several 3' UTRs, including its own and also that of FOS and ID. The encoded protein may recognize a GAAA motif in the RNA. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Jan 2010].
CFC1	cripto, FRL-1, cryptic family 1 	This gene encodes a member of the epidermal growth factor (EGF)- Cripto, Frl-1, and Cryptic (CFC) family, which are involved in signalling during embryonic development. Proteins in this family share a variant EGF-like motif, a conserved cysteine-rich domain, and a C-terminal hydrophobic region. The protein encoded by this gene is necessary for patterning the left-right embryonic axis. Mutations in this gene are associated with defects in organ development, including autosomal visceral heterotaxy and congenital heart disease. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Jul 2012].
GTF2IRD2	GTF2I repeat domain containing 2 	This gene is one of several closely related genes on chromosome 7 encoding proteins containing helix-loop-helix motifs. These proteins may function as regulators of transcription. The encoded protein is unique in that its C-terminus is derived from CHARLIE8 transposable element sequence. This gene is located in a region of chromosome 7 that is deleted in Williams-Beuren syndrome, and loss of this locus may contribute to the cognitive phenotypes observed in this disease. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013].
CDY2A	chromodomain Y-linked 2A 	This intronless gene encodes a protein containing a chromodomain and a histone acetyltransferase catalytic domain. Chromodomain proteins are components of heterochromatin-like complexes and can act as gene repressors. This protein is localized to the nucleus of late spermatids where histone hyperacetylation takes place. Histone hyperacetylation is thought to facilitate the transition in which protamines replace histones as the major DNA-packaging protein. Two nearly identical copies of this gene are found in a palindromic region on chromosome Y; this record represents the telomeric copy. Chromosome Y also contains a pair of closely related genes in another more telomeric palindrome as well as several related pseudogenes. [provided by RefSeq, Jul 2008].
SORBS1	sorbin and SH3 domain containing 1 	This gene encodes a CBL-associated protein which functions in the signaling and stimulation of insulin. Mutations in this gene may be associated with human disorders of insulin resistance. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2014].
GOLGA5	golgin A5 	The Golgi apparatus, which participates in glycosylation and transport of proteins and lipids in the secretory pathway, consists of a series of stacked cisternae (flattened membrane sacs). Interactions between the Golgi and microtubules are thought to be important for the reorganization of the Golgi after it fragments during mitosis. This gene encodes one of the golgins, a family of proteins localized to the Golgi. This protein is a coiled-coil membrane protein that has been postulated to play a role in vesicle tethering and docking. Translocations involving this gene and the ret proto-oncogene have been found in tumor tissues; the chimeric sequences have been designated RET-II and PTC5. A pseudogene of this gene is located on the short arm of chromosome 5. [provided by RefSeq, Jul 2013].
